Title,Author,,ISBN
10% Happier,,https://www.amazon.com/10-Happier-Self-Help-Actually-Works/dp/0062265423/ref=tmm_hrd_swatch_0?_encoding=UTF8&qid=&sr=,'0062265423
Anti-Bias Education in the Early Childhood Classroom,,https://www.amazon.com/Anti-Bias-Education-Early-Childhood-Classroom/dp/1138651591/ref=sr_1_1?ie=UTF8&qid=1504130289&sr=8-1&keywords=katie+kissinger,'1138651591
Being Wrong: Adventures on the Margins of Error,Kathryn Schultz,https://www.amazon.com/Being-Wrong-Adventures-Margin-Error/dp/0061176052,'0061176052
Between the World and Me,Ta-Nehisi Coates,https://www.amazon.com/Between-World-Me-Ta-Nehisi-Coates/dp/0812993543,'0812993543
Cheating Lessons: Learning From Academic Dishonesty,James Lang,https://www.amazon.com/Cheating-Lessons-Learning-Academic-Dishonesty/dp/0674724631,'0674724631
Colorblind,Tim Wise,https://www.amazon.com/Colorblind-Post-Racial-Politics-Retreat-Racial/dp/0872865088/ref=asap_bc?ie=UTF8,'0872865088
Creating Self-Regulated Learners: Strategies To Strengthen Students’ Self-Awareness and Learning Skills,Linda Nilson,https://www.amazon.com/Creating-Self-Regulated-Learners-Strategies-Self-Awareness/dp/1579228674,'1579228674
Dear White America,Tim Wise,https://www.amazon.com/Dear-White-America-Letter-Minority/dp/0872865215/ref=asap_bc?ie=UTF8,'0872865215
Excellent Sheep: The Miseducation of the American Elite and the Way to a Meaningful Life,William Deresiewicz,https://www.amazon.com/Excellent-Sheep-Miseducation-American-Meaningful/dp/1476702721,'1476702721
Flourish: A Visionary New Understanding of Happiness and Well-being,Martin Seligman,https://www.amazon.com/dp/B0043RSK9O/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,'1439190755
How College Works,Chambliss & Takach,https://www.amazon.com/How-College-Works-Daniel-Chambliss/dp/0674049020,'0674049020
"I Love Learning, I Hate School: An Anthropology of College",Susan D. Blum,https://www.amazon.com/Love-Learning-Hate-School-Anthropology/dp/1501713485,'1501713485
Internationalizing The Curriculum,Betty Leask,https://www.amazon.com/Internationalizing-Curriculum-Internationalization-Higher-Education/dp/0415728150,'0415728150
Make It Stick: Science of Successful Learning,"Brown, Roediger & McDaniel",https://www.amazon.com/Make-Stick-Science-Successful-Learning/dp/0674729013,'0674729013
Mindset: The New Psychology Of Success,Carol Dweck,https://www.amazon.com/Mindset-Psychology-Success-Carol-Dweck/dp/0345472322,'0345472322
Mindsight: The New Science of Personal Transformation,Dan Siegel,https://www.amazon.com/Mindsight-New-Science-Personal-Transformation/dp/0553386395,'0553386395
Naming What We Know: Threshold Concepts and Writing Studies,Adler-Kassner & Wardle,https://www.amazon.com/Naming-What-We-Know-Threshold/dp/0874219892,'0874219892
"Pedagogy of Freedom: Ethics, Democracy and Civic Courage",Paolo Freire,https://www.amazon.com/Pedagogy-Freedom-Democracy-Perspectives-Dedicated/dp/0847690474,'0847690474
Quiet: The Power Of Introverts In A World That Can’t Stop Talking,,https://www.amazon.com/dp/B004J4WNL2/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,'0307352145
Reaching Students: What Research Says About Effective Instruction in Undergraduate Science & Engineering,Nancy Kober,http://www.nap.edu/catalog/18687/reaching-students-what-research-says-about-effective-instruction-in-undergraduate,
Recovering The Sacred,Winona LaDuke,https://www.amazon.com/Recovering-Sacred-Power-Naming-Claiming/dp/0896087123,'0896087123
Rising Strong,,https://www.amazon.com/Rising-Strong-Bren%C3%A9-Brown/dp/0812995821,'0812995821
Scholarship Reconsidered: Priorities of the Professoriate,Ernest Boyer,https://www.amazon.com/Scholarship-Reconsidered-Professoriate-Ernest-Boyer/dp/0787940690,'0787940690
Small Teaching: Everyday Lessons from the Science of Learning,James Lang,https://www.amazon.com/Small-Teaching-Everyday-Lessons-Learning/dp/1118944496,'1118944496
Somebodies and Nobodies: Overcoming the Abuse of Rank,Robert W. Fuller,https://www.amazon.com/Somebodies-Nobodies-Overcoming-Abuse-Rank/dp/0865714878,'0865714878
Sustainability in Higher Education: Stories and Strategies for Transformation,Peggy Bartlett and Geoffrey Chase,https://www.amazon.com/Sustainability-Higher-Education-Transformation-Environments/dp/0262519658,'0262519658
"Teach Students How To Learn: : Strategies You Can Incorporate Into Any Course to Improve Student Metacognition, Study Skills, and Motivation",Saundra McGuire,https://www.amazon.com/Teach-Students-How-Learn-Metacognition/dp/162036316X,'162036316X
Teaching Community: A Pedagogy of Hope,bell hooks,https://www.amazon.com/Teaching-Community-Pedagogy-bell-hooks/dp/0415968186/ref=asap_bc?ie=UTF8,'0415968186
Teaching Critical Thinking: Practical Wisdom,bell hooks,https://www.amazon.com/Teaching-Critical-Thinking-Practical-Wisdom/dp/0415968208/ref=asap_bc?ie=UTF8,'0415968208
Teaching With Your Mouth Shut,Donald Finkel,https://www.amazon.com/Teaching-Your-Mouth-Donald-Finkel/dp/0867094699,'0867094699
The Courage To Teach,Parker Palmer,https://www.amazon.com/Courage-Teach-Exploring-Landscape-Anniversary/dp/0787996866,'0787996866
The Culturally Inclusive Educator: Preparing For A Multicultural World ,Dena Samuels,https://www.amazon.com/Culturally-Inclusive-Educator-Preparing-Multicultural/dp/0807755923,'0807755923
The Distracted Mind: Ancient Brains In A High-Tech World,,https://www.amazon.com/Distracted-Mind-Ancient-Brains-High-Tech/dp/0262034948,'0262034948
The Immortal Life of Henrietta Lacks,Rebecca Skloot,https://www.amazon.com/dp/B00338QENI/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,'1400052173
"The Meaningful Writing Project: Learning, Teaching, and Writing in Higher Education",,https://www.amazon.com/Meaningful-Writing-Project-Learning-Education/dp/1607325799/ref=sr_1_1?s=books&ie=UTF8&qid=1511996564&sr=1-1&keywords=The+Meaningful+Writing+Project%3A+Learning%2C+Teaching%2C+and+Writing+in+Higher+Education,'1607325799
The Militarization of Indian Country,Winona LaDuke,https://www.amazon.com/Militarization-Indian-Country-Makwa-Enewed/dp/193806500X/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=,'193806500X
The Missing Professor: An Academic Mystery,Thomas Jones,https://www.amazon.com/Missing-Professor-Development-Orientation-Conversations/dp/1579221386,'1579221386
The New Education: How To Revolutionize The University To Prepare Students for a World In Flux,Cathy Davidson,https://www.amazon.com/New-Education-Revolutionize-University-Students/dp/0465079725,'0465079725
The Slow Professor: Challenging the Culture of Speed in the Academy,Maggie Berg & Barbara K. Seeber,https://www.amazon.com/Slow-Professor-Challenging-Culture-Academy/dp/1442645563,'1442645563
The Spark of Learning: Energizing the College Classroom with the Science of Emotion,,https://www.amazon.com/dp/B01LF0UBFW/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,'194366532X
The Spark of Learning: Revolutionary New Science of Exercise and the Brain,,https://www.amazon.com/Spark-Revolutionary-Science-Exercise-Brain/dp/0316113514/ref=mt_paperback?_encoding=UTF8&me=,'0316113514
The Sympathizer,Viet Thanh Nguyen,https://www.amazon.com/Sympathizer-Novel-Viet-Thanh-Nguyen/dp/1543618022,'1543618022
The Upside of Stress,,https://www.amazon.com/dp/B00OI5PGWU/ref=dp-kindle-redirect?_encoding=UTF8&btkr=1,'1583335617
The Winona LaDuke Chronicles,Winona LaDuke,https://www.amazon.com/Chronicles-Winona-Laduke-Stories-Environmental/dp/1552669599,'1552669599
Tyranny of the Meritocracy,Lani Guinier,https://www.amazon.com/Tyranny-Meritocracy-Democratizing-Education-America-ebook/dp/B00BVJHLWY,'0807006270
Underground Undergrads,UCLA undergrads,https://books.labor.ucla.edu/p/55/undergroundundergrads,'0892150025
What Blood Won’t Tell: A History Of Race On Trial in America,Ariela Gross,https://www.amazon.com/What-Blood-Wont-Tell-History/dp/0674047982,'0674047982
Whistling Vivaldi: How Stereotypes Affect Us And What We Can Do,Claude M. Steele,https://www.amazon.com/Whistling-Vivaldi-Stereotypes-Affect-Issues/dp/0393339726/ref=tmm_pap_swatch_0?_encoding=UTF8&qid=&sr=,'0393339726
White Like Me,Tim Wise,https://www.amazon.com/White-Like-Me-Reflections-Privileged/dp/1593764251/ref=asap_bc?ie=UTF8,'1593764251
Writing Beyond Race: Living Theory & Practice,bell hooks,https://www.amazon.com/Writing-Beyond-Race-Living-Practice/dp/0415539153/ref=asap_bc?ie=UTF8,'0415539153
