MMS Id,Author,Title,Publisher,Publication Date,Permanent Call Number,PO Line Id,ISBN
991000412019702920,Foreign Office Architects.,Phylogenesis : foa's ark /,Actar,[2003],NA997.F63 A4 2003,POL-3087,9788495951472; 8495951479
991005513838802920,,Against the tide : pavilion of Chile at the 15th International Architecture Exhibition - la Biennale di Venezia /,Hatje Cantz Verlag,[2016],NA860 .A33x 2016,POL-3112,3775741895; 9783775741897
991005555437702920,,Chandigarh rethink : transforming ruralities & edge(ness) in global urbanities /,ORO Editions,[2017],HT169.I52 C46 2017,POL-3035,1939621364; 9781939621368
991005555437802920,"Schwarting, Jon Michael, author.",Rome : urban formation and transformation /,Applied Research and Design Publishing an imprint of ORO Editions,[2017],HT169.I82 R6685 2017,POL-3034,1939621704; 9781939621702
991005555438102920,,Places : public architecture /,ORO Editions,[2015],NA9050.5 .P53 2015,POL-3029,1941806449; 9781941806449
991005555439302920,,Trap door : trans cultural production and the politics of visibility /,The MIT Press,[2017],NX650.G44 T73 2017,POL-2986,0262036606; 9780262036603
991005556337902920,"Bullock, Charles C., author.",Introduction to recreation services for people with disabilities : a person-centered approach /,Sagamore Venture Publishing LLC,[2017],GV183.5 .B85 2017,POL-3081,1571678077; 9781571678072; 1571678085; 9781571678089
991005556338302920,,PWP landscape architecture : building ideas /,Oro Editions,[2016],SB470.W28 P87 2016,POL-3030,9781935935643; 193593564X
991005556338502920,"Soules, Matthew, author.",Binning House /,ORO Editions,[2017],NA749.B56 A68 2017,POL-3027,1939621666; 9781939621665
991005556338602920,"Olin, Laurie, author.",Be seated /,Applied Research + Design Publishing,[2017],NK2715 .O45 2017,POL-3026,9781939621726; 1939621720
991005556338702920,"Scott, Joan Wallach, author.",Sex and secularism /,Princeton University Press,[2018],HQ1190 .S38 2018,POL-3018,0691160643; 9780691160641
991005561039802920,"Yourdon, Edward.",Death march /,Prentice Hall Professional Technical Reference,©2004.,QA76.76.D47 Y677 2004,POL-3089,9780131436350; 013143635X
991005562434102920,"Mottel, Syeus, 1930-2014, author.",CHARAS : the improbable dome builders /,distributed by Artbook DAP; Pioneer Works Press & The Song Cave,2017.,HN45.N4 M67 2017,POL-3177,1945711051; 9781945711053
991005562436102920,"Mack, Gerhard.",Herzog & de Meuron 2005-2007: The complete works.,Birkhäuser Verlag AG,[2018],NA1353.H47 A4 2018,POL-3152,3035610045; 9783035610048
991005562639102920,"Wee, K. P., author.",The 1988 Dodgers : reliving the championship season /,Rowman & Littlefield,[2018],GV875.L6 W35 2018,POL-3142,1538113082; 9781538113080; 9781538113097; 1538113090
991005562639202920,"Lange, Alexandra, author.",The design of childhood : how the material world shapes independent kids /,Bloomsbury Publishing,2018.,GV425 .L36 2018,POL-3140,1632866358; 9781632866356
991005562736202920,,Treasures of the Mughals and the Maharajas : the Al-Thani collection.,Skira,[2017],NK7303.A48 T74 2017,POL-3174,8857235947; 9788857235943
991005562736302920,"Stierli, Martino, 1974- author.","Toward a concrete utopia : architecture in Yugoslavia, 1948-1980 /",The Museum of Modern Art,[2018],NA1448 .S75 2018,POL-3173,9781633450516; 1633450511
991005562736402920,,Thomas Struth /,DAP/Distributed Art Publishers Inc,2017.,TR647 .S87 2017,POL-3172,9781942884224; 1942884222
991005562736502920,"Dean, Tacita, 1965- artist.","Tacita Dean : landscape, portrait, still life /",National Portrait Gallery; Royal Academy of Arts; The National Gallery,[2018],N6797.D445 A6 2018,POL-3171,1910350877; 9781910350874
991005562736602920,,Sheila Hicks : lignes de vie = lifelines /,Centre Pompidou,[2018],NK3012.A3 H52 2018,POL-3170,2844268153; 9782844268150
991005562736702920,,Michael Webb two journeys /,Lars Müller Publishers,[2018],NA2707.W42 A4 2018,POL-3169,9783037785546; 3037785543
991005562737002920,"Deutinger, Theo, author.",Handbook of tyranny /,Lars Müller Publishers,[2018],JC585 .D38 2018,POL-3166,3037785349; 9783037785348
991005562737102920,"Wigley, Mark, author.",Cutting Matta-Clark : the anarchitecture investigation /,Columbia University GSAPP; Canadian Centre for Architecture; Lars Müller Publishers,[2018],N6537.M3947 W54 2018,POL-3165,303778427X; 9783037784273
991005562737202920,"Christo, 1935-",Christo and Jeanne-Claude : urban projects /,DAP Distributed Art Publishers; Verlag Kettler,©2017.,N7193.C5 A4 2017,POL-3164,3862066797; 9783862066797; 1942884257; 9781942884255
991005562737302920,"Kingelez, Bodys Isek, 1948-2015, artist.",Bodys Isek Kingelez /,Distributed in the United States and Canada by Artbook DAP; The Museum of Modern Art,[2018],NB1099.C633 S85 2018,POL-3163,1633450546; 9781633450547
991005562738002920,"Cohen, Steven, 1953 September 6- author.",The sustainable city /,Columbia University Press,[2018],HT166 .C5284 2018,POL-3138,023118204X; 9780231182041; 0231182058; 9780231182058; 9780231543972; 0231543972
991005562738502920,"Oswalt, Philipp.",Urban catalyst : the power of temporary use /,Dom Pub,2013.,HT169.E97 O88 2013,POL-3130,9783869222615; 3869222611
991005562739002920,"Sonne, Wolfgang, 1965- author.",Urbanity and density in 20th-century urban design /,DOM Publishers,[2017],HT166 .S6213 2017,POL-3122,9783869224916; 3869224916
991005562739102920,"Hinse, Ton, author.",The morphology of the times : European cities and their historical growth /,DOM Publishers,[2014],HT386.E85 H56 2014,POL-3121,386922309X; 9783869223094
991005562739202920,"Meuser, Philipp, 1969- author.",Galina Balashova : architect of the Soviet space programme /,Dom Publishers,[2015],TL875 .M4813 2015,POL-3120,3869223553; 9783869223551
991005562739302920,"Dörries, Cornelia, 1969- author.",Contemporary architecture : made in Germany /,Dom Publishers,[2016],NA687 .D67 2016,POL-3119,3869221763; 9783869221762
991005563439602920,,Critical issues in American art : a book of readings /,Routledge Taylor & Francis Group,2018.,N6505 .C75 2018,POL-3000,0064309878; 9780064309875
991005564136302920,"Hawkins, William Lawrence, 1895-1990.","William L. Hawkins, 1895-1990.",Ricco/Maresca Gallery,©1990.,ND237.H36 A4 1990,POL-3175,
991005564136402920,,"1917, Picasso in Barcelona /",Ajuntament de Barcelona; Museu Picasso,[2017],N6853.P5 A4 2017,POL-3162,8494753932; 9788494753930; 8836637337; 9788836637331; 8494753916; 9788494753916
991005564136502920,,Marcel Breuer : building global institutions /,Lars Müller Publishers,[2018],NA737.B68 M36 2018,POL-3168,3037785195; 9783037785195